Time Stamp= 2010-03-23 03:27:00
0.090	0.036	219.375	45.322	-1.867	4.357	0.602	0.166	1.880	16.980	73.259
0.095	0.026	226.406	31.669	-1.315	8.196	0.771	0.051	2.000	16.980	73.259
0.100	0.051	226.406	42.524	-0.715	5.987	0.807	0.021	1.520	16.980	73.259
0.110	0.030	222.188	46.777	-1.997	4.964	0.770	0.078	1.580	16.980	73.259
0.120	0.025	213.750	39.503	-0.924	6.721	0.809	0.027	1.530	16.980	73.259
0.130	0.012	220.781	37.600	0.606	5.371	0.637	-0.047	1.350	16.980	73.259
0.140	0.010	230.625	48.120	1.047	3.261	0.400	-0.172	1.180	16.980	73.259
0.150	0.016	286.875	38.384	-0.752	5.131	0.619	0.062	1.070	16.980	73.259
0.160	0.039	289.688	30.103	0.312	7.365	0.729	-0.016	1.160	16.980	73.259
0.170	0.185	293.906	22.157	0.136	9.980	0.812	-0.004	1.060	16.980	73.259
0.180	0.311	298.125	26.634	-0.617	8.305	0.762	0.025	1.100	16.980	73.259
0.190	0.308	303.750	26.410	0.621	10.000	0.801	-0.020	1.020	16.980	73.259
0.200	0.250	306.562	23.836	-0.918	9.680	0.799	0.029	1.050	16.980	73.259
0.210	0.217	309.375	23.500	0.787	8.732	0.787	-0.027	1.050	16.980	73.259
0.220	0.201	306.562	22.717	-0.357	10.745	0.818	0.010	1.000	16.980	73.259
0.230	0.106	310.781	29.655	-0.000	7.257	0.725	0.000	1.010	16.980	73.259
0.240	0.120	309.375	29.879	0.734	7.314	0.727	-0.037	1.010	16.980	73.259
0.250	0.128	315.000	29.655	-0.688	7.257	0.725	0.035	0.980	16.980	73.259
0.260	0.090	310.781	33.012	-0.204	4.960	0.609	0.018	0.980	16.980	73.259
0.270	0.088	307.969	34.355	-0.729	4.145	0.549	0.078	1.010	16.980	73.259
0.280	0.065	315.000	32.788	-1.222	5.294	0.629	0.098	1.010	16.980	73.259
0.290	0.045	303.750	38.384	-0.275	3.502	0.455	0.039	0.950	16.980	73.259
0.300	0.045	312.188	39.167	-1.139	4.857	0.596	0.104	1.000	16.980	73.259
0.310	0.037	319.219	38.608	-0.814	4.281	0.533	0.092	0.970	16.980	73.259
0.320	0.024	326.250	40.174	-0.906	3.950	0.494	0.115	1.010	16.980	73.259
0.330	0.024	310.781	40.846	-0.142	4.619	0.580	0.014	0.920	16.980	73.259
0.340	0.021	316.406	38.496	-0.307	4.759	0.582	0.029	1.010	16.980	73.259
0.350	0.023	312.188	38.943	-0.032	5.748	0.689	0.002	0.930	16.980	73.259
0.360	0.020	320.625	43.867	0.284	4.039	0.521	-0.033	0.940	16.980	73.259
0.370	0.016	313.594	48.231	-0.904	3.537	0.471	0.123	1.020	16.980	73.259
0.380	0.016	316.406	49.015	-1.133	3.183	0.389	0.191	1.070	16.980	73.259
0.390	0.014	310.781	45.881	0.187	3.407	0.418	-0.029	1.000	16.980	73.259
0.400	0.011	312.188	49.015	0.762	2.979	0.334	-0.146	0.980	16.980	73.259
